8,Семёнов,Александр,director,20000.00,+380564765145,semenovaleksandr@gmail.com,semenov_alksndr,aleksandR98123,1
9,Екатерина,Макарчук,manager,15000.00,+380987767543,makarchk_ektr@gmail.com,ekaterina_makarchuck,ekaterina98765,1
13,Кожина,Эвелина,manager,15000.00,+380568885145,evakoj@gmail.com,evelinaKOJINA,bh68Lloo3cYg,2
17,Егоров,Арнольд,manager,15000.00,+380978872111,ArnoldEgorov@gmail.com,arnoldEgorov,xBreZcu8VI5D,3
21,Островская,Лилиана,manager,15000.00,+380977681543,ostrovskaja_lili@gmail.com,lilianaOst,tyhM0VIzxM5S,4
25,Исаев,Никита,manager,15000.00,+380975587145,Issaev234@gmail.com,IsaevNikita,48wRADXq1b2d,5
10,Макаров,Даниил,admin,13500.00,+380345543123,makarov1984@gmail.com,makarov_daniiL,mkrvdnl83492,1
14,Кружина,Элеонора,admin,13500.00,+380568761239,krujinaeleonora@gmail.com,eleonora_kruj,JUKSeKdDG6v6,2
18,Рыбакова,Мария,admin,13500.00,+380976761559,ribakovaMarija@gmail.com,ribakova_marija,YkZzMo1cCst8,3
22,Питерский,Ратмир,admin,13500.00,+380975543234,RatmirPiter@gmail.com,ratmir_piterskij,jc7fRWsAmGUS,4
26,Кропотов,Андрей,admin,13500.00,+380972391239,kropotov231@gmail.com,kropotovAndrei,MdRKPBpzkuWM,5
12,Иванов,Юрий,cashier,8000.00,+380654789129,youriiIvanov@gmail.com,IvanovYourii,youriiivanov78123,1
16,Просветова,София,cashier,8000.00,+380978231239,ProsvetovaSofija@gmail.com,pSofija,LrSmbqt42SzH,2
20,Смолов,Андрей,cashier,8000.00,+380978765566,SmolOv@gmail.com,smolovAndry,FvqWQxmeeJTO,3
24,Артимович ,Владимир,cashier,8000.00,+380652289129,Artimovich@gmail.com,ArtimovichVladimir,WrECUq8uGRHF,4
28,Репина,Светлана,cashier,8000.00,+380977825439,RepinaSveta@gmail.com,RSveta,jH9dR8M0Cv1l,5
11,Петров,Василий,shop_assistant,10000.00,+380988567765,petrovVas@gmail.com,petrov_vasilii,ptrvV1988,1
15,Павлов,Сергей,shop_assistant,10000.00,+380777886145,PavlovSegei@gmail.com,PavlovSergei,IqmKAOZTbT38,2
19,Кутузова,Анастасия,shop_assistant,10000.00,+380978343145,kutuzova1922@gmail.com,anastasijaKutuzova,2Jm0mmC9OyXb,3
23,Кольцов ,Алексей,shop_assistant,10000.00,+380971123456,ColcevAlik@gmail.com,colcevaleksei,GtImkfbccufq,4
27,Брежнев,Дмитрий,shop_assistant,10000.00,+380979886145,BrejnevDmitrii@gmail.com,BrejnewDmitro,Yl4DNzNpqNpM,5
